model,ticker,mae,rmse,mase,dir_acc,sharpe
Chronos-2,TSM,10.7279,11.9724,2.4705,0.52,-0.1334
Chronos-2,NVDA,4.8,5.4263,1.6151,0.5033,-4.3972
Chronos-2,AMD,10.2701,11.9205,2.461,0.4733,0.4939
Chronos-2,INTC,2.6526,3.0107,3.2155,0.4433,-2.2301
Chronos-2,ASML,46.2624,51.9769,2.817,0.51,-1.5726
Chronos-2,AVGO,9.7108,10.9936,1.6306,0.5033,0.8105
Chronos-2,QCOM,4.0781,4.5838,1.6961,0.47,-1.9198
Chronos-2,AAPL,5.6559,6.4228,2.0172,0.58,1.75
Chronos-2,MSFT,12.3574,13.6917,2.6402,0.4633,1.0286
Chronos-2,GOOGL,7.3452,8.2822,2.3354,0.5667,2.2424
Chronos-2,AMZN,6.5066,7.417,1.9915,0.4367,-2.7752
Chronos-2,META,20.8297,23.7748,1.994,0.53,1.8
Chronos-2,SPY,6.6704,7.7627,1.538,0.52,1.2517
Chronos-2,QQQ,7.8135,9.0779,1.583,0.5433,0.8512
Chronos-2,SOXX,8.9339,10.2145,2.1961,0.47,-0.9438
TimesFM-2.5,TSM,9.9796,11.2764,2.3055,0.59,0.2585
TimesFM-2.5,NVDA,4.8353,5.4856,1.6266,0.54,1.4094
TimesFM-2.5,AMD,10.491,12.0603,2.5114,0.5267,-2.3185
TimesFM-2.5,INTC,2.5009,2.8492,3.0361,0.4667,-0.3854
TimesFM-2.5,ASML,48.697,54.8335,2.9737,0.4267,0.4285
TimesFM-2.5,AVGO,9.359,10.6029,1.571,0.6067,1.3899
TimesFM-2.5,QCOM,4.3658,4.9113,1.8151,0.4367,-0.7505
TimesFM-2.5,AAPL,5.8648,6.6756,2.0909,0.4867,-0.3435
TimesFM-2.5,MSFT,11.8566,13.3093,2.5332,0.4433,1.5096
TimesFM-2.5,GOOGL,7.5124,8.4782,2.3873,0.51,0.1017
TimesFM-2.5,AMZN,6.0982,6.9282,1.866,0.5667,0.2615
TimesFM-2.5,META,19.6978,22.6212,1.8862,0.5733,1.5018
TimesFM-2.5,SPY,6.6901,7.8499,1.5434,0.52,1.1118
TimesFM-2.5,QQQ,7.8306,9.1217,1.5865,0.4833,-1.3979
TimesFM-2.5,SOXX,9.5546,10.8517,2.3564,0.4133,-2.1537
FlowState,TSM,10.5032,11.8847,2.4175,0.5467,-0.1709
FlowState,NVDA,5.1441,5.795,1.7302,0.5,3.6532
FlowState,AMD,11.0805,12.6486,2.6462,0.4967,2.0956
FlowState,INTC,2.6053,2.9766,3.1591,0.51,2.0608
FlowState,ASML,56.0377,63.0343,3.4392,0.4067,-0.5069
FlowState,AVGO,10.0475,11.2133,1.688,0.54,1.9209
FlowState,QCOM,4.2457,4.7746,1.7669,0.47,1.0032
FlowState,AAPL,5.7923,6.6066,2.0647,0.5733,0.0003
FlowState,MSFT,12.8989,14.4129,2.7541,0.43,0.2287
FlowState,GOOGL,8.3385,9.4359,2.6484,0.46,-4.2483
FlowState,AMZN,6.3791,7.1921,1.9521,0.4667,0.5279
FlowState,META,19.3588,22.1564,1.8519,0.6133,-0.491
FlowState,SPY,6.7453,7.7903,1.5531,0.4833,-1.8606
FlowState,QQQ,8.5,9.7001,1.7215,0.4533,-2.9569
FlowState,SOXX,9.4362,10.7349,2.3294,0.4533,0.3161
XGBoost,TSM,13.6661,15.108,3.1593,0.5133,2.4627
XGBoost,NVDA,5.5506,6.4741,1.8693,0.4967,1.8488
XGBoost,AMD,12.2264,13.7551,2.9226,0.5467,-0.8127
XGBoost,INTC,2.6725,3.033,3.2487,0.5567,2.9764
XGBoost,ASML,66.5144,73.7884,4.1107,0.5067,0.1097
XGBoost,AVGO,14.6595,16.3389,2.4615,0.4033,-1.9265
XGBoost,QCOM,5.9849,6.5808,2.4944,0.42,0.658
XGBoost,AAPL,5.8078,6.5641,2.066,0.6067,0.3947
XGBoost,MSFT,17.7889,19.1574,3.7879,0.3333,-2.7841
XGBoost,GOOGL,9.9349,11.0533,3.1563,0.4467,-0.7061
XGBoost,AMZN,7.8046,8.6677,2.3868,0.5133,-1.7674
XGBoost,META,28.9838,32.4154,2.77,0.3733,-1.9953
XGBoost,SPY,7.3551,8.5196,1.6956,0.5367,1.4526
XGBoost,QQQ,9.2747,10.5466,1.8771,0.55,2.2601
XGBoost,SOXX,11.8307,13.435,2.9394,0.4667,0.1621
Ens-EqualWt,TSM,10.1353,11.4744,2.3373,0.5467,-1.7695
Ens-EqualWt,NVDA,4.8572,5.4784,1.6341,0.5533,4.1733
Ens-EqualWt,AMD,10.477,12.0371,2.5076,0.4833,0.8919
Ens-EqualWt,INTC,2.5507,2.9001,3.0963,0.4667,-1.9541
Ens-EqualWt,ASML,49.5287,55.8924,3.0293,0.4133,-0.6694
Ens-EqualWt,AVGO,9.422,10.6206,1.5823,0.6,1.3205
Ens-EqualWt,QCOM,4.1731,4.6848,1.736,0.4433,1.1062
Ens-EqualWt,AAPL,5.6713,6.4782,2.0222,0.6,-0.6426
Ens-EqualWt,MSFT,12.1392,13.5965,2.594,0.46,0.8779
Ens-EqualWt,GOOGL,7.6898,8.6656,2.4436,0.5,0.1119
Ens-EqualWt,AMZN,6.2851,7.1351,1.9234,0.4467,-2.3182
Ens-EqualWt,META,19.7793,22.6694,1.8934,0.5833,0.7688
Ens-EqualWt,SPY,6.6131,7.7063,1.5245,0.5533,-0.7285
Ens-EqualWt,QQQ,7.9763,9.2229,1.6159,0.4667,-0.4182
Ens-EqualWt,SOXX,9.1722,10.4415,2.261,0.39,-1.9889
Ens-DynWt,TSM,10.1126,11.4573,2.3323,0.55,-1.7695
Ens-DynWt,NVDA,4.8528,5.4739,1.6326,0.5567,3.8625
Ens-DynWt,AMD,10.4728,12.0357,2.5067,0.4767,0.6786
Ens-DynWt,INTC,2.5484,2.8984,3.0936,0.4767,-1.919
Ens-DynWt,ASML,49.1158,55.4048,3.003,0.3967,-0.4269
